LotArea,LotFrontage,YearBuilt,1stFlrSF,2ndFlrSF,YearRemodAdd,TotRmsAbvGrd,KitchenAbvGr,BedroomAbvGr,GarageCars,GarageArea,price
8450,65.0,2003,856,854,2003,8,1,3,2,548,12.24769911637256
9600,80.0,1976,1262,0,1976,6,1,3,2,460,12.109016442313738
11250,68.0,2001,920,866,2002,6,1,3,2,608,12.317171167298682
9550,60.0,1915,961,756,1970,7,1,3,3,642,11.849404844423074
14260,84.0,2000,1145,1053,2000,9,1,4,3,836,12.429220196836384
14115,85.0,1993,796,566,1995,5,1,1,2,480,11.870606902224589
10084,75.0,2004,1694,0,2005,7,1,3,2,636,12.63460628389302
10382,70.0,1973,1107,983,1973,7,1,3,2,484,12.206077645517674
6120,51.0,1931,1022,752,1950,8,2,2,2,468,11.774527900858468
7420,50.0,1939,1077,0,1950,5,2,2,1,205,11.678448377988165
11200,70.0,1965,1040,0,1965,5,1,3,1,384,11.771443882099636
11924,85.0,2005,1182,1142,2006,11,1,4,3,736,12.75130259456002
12968,70.0,1962,912,0,1962,4,1,2,1,352,11.87757552297847
10652,91.0,2006,1494,0,2007,7,1,3,3,840,12.54076114938842
10920,70.0,1960,1253,0,1960,5,1,2,1,352,11.964007453736912
6120,51.0,1929,854,0,2001,5,1,2,2,576,11.790564777297387
11241,70.0,1970,1004,0,1970,5,1,2,2,480,11.91170829631447
10791,72.0,1967,1296,0,1967,6,2,2,2,516,11.407576060361786
13695,66.0,2004,1114,0,2004,6,1,3,2,576,11.976665770490769
7560,70.0,1958,1339,0,1965,6,1,3,1,294,11.842236406331557
14215,101.0,2005,1158,1218,2006,9,1,4,3,853,12.692506186542175
7449,57.0,1930,1108,0,1950,6,1,3,1,280,11.84510995088398
9742,75.0,2002,1795,0,2002,7,1,3,2,534,12.345838935721968
4224,44.0,1976,1060,0,1976,6,1,3,2,572,11.774527900858468
8246,70.0,1968,1060,0,2001,6,1,3,1,270,11.944714374881176
14230,110.0,2007,1600,0,2007,7,1,3,3,890,12.454107814022272
7200,60.0,1951,900,0,2000,5,1,3,2,576,11.811554895830454
11478,98.0,2007,1704,0,2008,7,1,3,3,772,12.631343648903034
16321,47.0,1957,1600,0,1997,6,1,2,1,319,12.242891437918386
6324,60.0,1927,520,0,1950,4,1,1,1,240,11.134603622683905
8500,50.0,1920,649,668,1950,6,1,3,1,250,10.59665973278358
8544,70.0,1966,1228,0,2006,6,1,3,1,271,11.914054519303123
