iter	Passed	Remaining
0	26	10570
1	47	9536
2	70	9269
3	98	9728
4	116	9210
5	132	8674
6	148	8327
7	166	8147
8	185	8062
9	201	7840
10	215	7625
11	234	7585
12	249	7431
13	264	7295
14	281	7216
15	295	7094
16	309	6979
17	330	7008
18	355	7130
19	373	7096
20	390	7040
21	406	6977
22	428	7016
23	445	6974
24	459	6889
25	473	6812
26	490	6777
27	517	6879
28	533	6821
29	556	6858
30	577	6879
31	594	6839
32	617	6867
33	634	6834
34	652	6806
35	674	6820
36	704	6916
37	737	7021
38	754	6985
39	771	6941
40	821	7189
41	841	7170
42	858	7123
43	882	7139
44	900	7107
45	931	7171
46	956	7181
47	974	7143
48	990	7092
49	1006	7042
50	1025	7019
51	1040	6961
52	1059	6937
53	1074	6882
54	1087	6823
55	1106	6796
56	1123	6761
57	1142	6737
58	1158	6697
59	1175	6659
60	1190	6613
61	1282	6993
62	1338	7159
63	1372	7206
64	1413	7284
65	1435	7266
66	1459	7253
67	1477	7213
68	1494	7170
69	1510	7118
70	1524	7066
71	1539	7013
72	1557	6978
73	1576	6944
74	1597	6920
75	1615	6885
76	1630	6838
77	1645	6791
78	1659	6742
79	1673	6694
80	1687	6646
81	1702	6602
82	1717	6560
83	1733	6521
84	1749	6482
85	1770	6463
86	1791	6445
87	1838	6519
88	1857	6490
89	1874	6458
90	1893	6428
91	1910	6397
92	1933	6381
93	1948	6343
94	1965	6309
95	1983	6281
96	2008	6274
97	2024	6237
98	2040	6203
99	2055	6166
100	2070	6130
101	2085	6092
102	2099	6053
103	2120	6036
104	2138	6007
105	2152	5970
106	2168	5939
107	2195	5935
108	2213	5908
109	2229	5877
110	2244	5843
111	2259	5809
112	2274	5777
113	2290	5745
114	2307	5718
115	2323	5689
116	2338	5656
117	2353	5624
118	2368	5592
119	2386	5568
120	2402	5539
121	2420	5515
122	2439	5492
123	2466	5489
124	2509	5520
125	2533	5508
126	2555	5493
127	2578	5478
128	2606	5475
129	2625	5452
130	2640	5421
131	2654	5389
132	2669	5358
133	2683	5327
134	2698	5296
135	2713	5266
136	2727	5235
137	2741	5204
138	2755	5173
139	2770	5145
140	2784	5115
141	2798	5085
142	2816	5061
143	2831	5033
144	2845	5003
145	2858	4973
146	2872	4944
147	2886	4915
