score,genre,review
9,스토리,"진짜 기적이네요~ 가슴따뜻한 영화 잼있게 봤습니다"
9,스토리배우,"주인공 모두의 인생에 기적의 순간이 존재하는 모든 시간..기차의 기적은 함께 한다.."
10,연출스토리,"가슴따듯한 최고의 영화 ㆍ박정민 연기에 소름돋았습니다ᆢ올해본영화중 최고입니다"
10,연출스토리,"너무 감동적이었습니다...ㅍ"
10,배우,"좋아요 아주 좋아요 정말 좋아요"
10,배우,"재밌게봤어요 감동ㅎ"
10,연출배우,"가족 모두 만족하며 봤어요!"
10,영상미배우,"나름 감동도 있고 재미잏었어요..."
10,배우,"재밌게 잘보았습니다!^-^"
10,스토리배우,"눈물이 나네요. 정부는 시골 정차역 없애는거 중단해라!"
6,영상미배우,"괜찮았어요 괜찮았어요"
10,스토리,"따뜻한 감성이 묻어나는 영화"
10,배우,"재밌었어요 감동감동"
10,스토리배우,"배우 연기도 스토리도 연출도 다 좋았습니다 오랜만에 본 저자극 영화"
10,스토리배우,"박정민의연기는훌륭하나 너무나이들어보여서질감이나지않았다"
9,스토리배우,"살면서 가장 먼저 챙겨야 하는것은 역시 가족인거같아요 잘 봤습니다~~"
9,배우,"박정민에 의한 박정민을 위한 박정민의 영화 ㅋ"
9,스토리,"마지막이 약간 뜬금없었지만 그래도 재미있었음..ㅋ"
10,배우,"배우들의 연기가 좋았어요"
7,배우,"전국1위가 제일 기적 아녀??"
10,스토리배우,"좋은 영화 입니다. 배우들 연기가 훌륭해요"
10,연출스토리,"반전있고 애잔한 감동적인 영화네요."
8,배우,"윤아 이쁘고 코믹은 아님"
10,스토리배우,"훈훈한스토리 볼만해요"
9,스토리배우,"오랜만에 마음이 따뜻한 영화를 봤어요"
10,스토리영상미,"어린 시절을 회상시키는 감동적인 영화입니다"
10,스토리배우,"재미있게 봤어요♥ 보경 귀여워요ㅎ"
10,연출스토리,"감동 그자체~ 울다가 웃다가"
8,배우,"기적이란 무엇인가. ㅕㅂㄹ게 기적인가"
10,영상미배우,"힐링이 필요했었는데 감동깊게 봤어요~"
10,연출스토리,"가슴이 뭉클합니다 배우들의 훌륭한 내면의 진솔함이 작품을 오랫동안 간직함을 남기겟네요 꼭 보시기 바래요."
10,스토리배우,"남자친구가 엄청 울었어요 ㅋㅋㅋ"
7,배우,"착한 이야기에 착한 연기"
8,스토리배우,"두 배우의 친구 케미가 돋보이는 영화!!"
10,스토리배우,"박정민 존잘 연기 개잘해요 눈물 뚝뚝…"
10,영상미배우,"재밌는데 흥행을 못해서 아쉽네요 ㅠㅠ"
10,영상미배우,"생각보다 진지하고 잔잔한 영화 였습니다. 배우들의 연기가 참 좋았습니다."
10,연출배우,"너무 울었어요.. 감동적이에요!!"
10,연출,"오랫만에 잔잔한 감동이 느껴지는 따듯한 영화였습니다^^"
10,배우,"감동적이었어요 윤아 예뻐용"
10,스토리배우,"생각못한 반전과 의미있는 스토리.."
10,스토리배우,"너무너무너무 재미있게 봤어요"
10,스토리배우,"넘 잼있게 봤어요^^ 감동도 있구^^"
6,영상미배우,"잔잔한데 늘어지는 연출 어쨌든 영화는 감동이나 재미가 있어야함"
10,스토리배우,"80 90년대초 교통수단인 철도를 수단으로 가족의 소중함을"
10,영상미배우,"감동, 웃음, 정말 좋았어요."
4,배우,"80년대 분위기도 제대로 못잡아가는 것 같습니다"
10,영상미배우,"펑타는 칩니다. 배우들 연기도 그럼구요"
8,스토리배우,"영화재밌어요.배우들연기좋아요"
10,스토리배우,"작은 울림이 전해져 왔어요"
7,배우,"윤아 연기가 물 울랗딘"
10,스토리배우,"강원도 산골짝 간이역이 생기기전 어려웠던 생활상과 가족애가 인상 깊었습니다."
10,스토리,"감동적인 따스한 감정의 영화였어요."
10,스토리배우,"오랜만에 마음이 따뜻해지는 영화 꼭 봤으면"
9,스토리배우,"마음을 울리는 감동적인 영화"
10,스토리배우,"뭐하나 흠잡을데가 없다.감동,웃음,눈물,반전 정말 짱짱이다.몇년동안 본 영화중 가장 감동이고 재미있었어요"
8,스토리,"내용은 좋은데 사투리가 다들 어색하네요ㅜ"
7,배우,"투박한 옛날 감성을 떠오르게 만드는 영화, 배우들의 열연이 인상적"
10,영상미배우,"박정민.윤아 믿보배"
10,스토리배우,"민자역사 관련 실화를 바탕으로 한 모티브가 흥미로웠음~역쉬 박정민 배우의 연기는 일품이며 시간내내 30대가 아닌 10대로 보였음~누나의 연기또한 인상적이었음~"
8,배우,"기적임윤아박절민이잉"
9,스토리,"반전이 두개나 있어서 재밌었네요. 아버지의 슬픔이 전해져서 울컥 ㅜㅜ 준경이도 안쓰럽지만 대단하네요. 그리고 임윤아 짱예쁨!"
5,배우,"감명깊게 잘 보았습니다"
10,스토리영상미,"감동적이었습니다. 가족과 보기에 좋습니다"
8,영상미,"소소한 일상과 가족이야기 이웃의 이야기를 풀어낸 영화"
10,스토리배우,"30대초반남자입니다. 눈물 펑펑쏟으며 봤네요."
8,스토리배우,"마무리가 깔끔하지 않은 느낌이 있네요 그것 빼곤 볼만했습니다"
10,스토리영상미,"좋았습니다. 추천합니다."
10,영상미배우,"재미있게 잘관람 하였읍니다."
10,스토리영상미,"인생을 살아갈때 자책은 하면 안되는 것입니다. 선택에 대한 책임을 지는것이죠. 사랑이 기적 입니다."
6,영상미OST,"눈물 쥐어짜보려는 후반부 전개가 불호네요. 관객수 적은 이유가 있었어요."
6,연출스토리,"잔잔하면서도 감동적이였어요"
7,배우,"평이한 스토리, 배우들의 연기로 커버"
10,배우,"잼나게 봤습니다 스토리는 평범한데 연기들을 잘 해서 볼만했습니다"
10,영상미배우,"가슴이찡하고재미까지있는영화~"
10,연출배우,"대단한 영화 입니다. 꼭 보세요"
10,연출스토리,"너무너무너무 재미있게 잘 봤습니다 감사합니다"
10,연출스토리,"너무너무너무 재미있게 잘 봤습니다"
9,영상미배우,"반전이 궁금해서 보게됐는데 연기력에 감탄하고 갑니다! 기적 화이팅~!:)"
10,연출스토리,"너무너무너무 재미있게 잘 봤습니다"
10,연출스토리,"너무너무너무 재미있게 잘 봤습니다 감사합니다"
10,연출스토리,"너무너무너무 재미있게 잘 봤습니다"
10,연출스토리,"너무너무너무 재미있게 잘 봤습니다"
10,스토리배우,"훈훈한 기적같은일이 주변에 많았으면 좋겠어요"
10,영상미,"ㄱ딧느걷ㅅ인긔사븟징극"
10,연출스토리,"너무너무너무 재미있게 잘 봤습니다"
9,스토리배우,"재미있어요.. ..."
10,연출스토리,"재밌고 감동이 있네요."
10,스토리영상미,"잔잔하며 눈물나는 영화"
10,연출스토리,"요즘 보기드문 정말 잘 만든 영화같아요. 억지스토리도 아니고 감성팔이도 아닌 진심으로 느껴지는 영화였습니다. 다들 고민말고 꼭 보세요!"
8,스토리배우,"나름 재미있는 영화"
9,스토리배우,"왜 눈물이 나는건지.. ㅎㅎ"
10,스토리배우,"오랫만에 순수한 영화 본 거 같아요. 배우님들 연기 너무 잘하시고 재미있었어요."
10,스토리,"웃음감동 다주네요 완전강추"
10,연출스토리,"갬성이 아날로그ᆢ잼납니다ᆢ보셔요"
10,영상미배우,"찐한 감동이 밀려오는 영화"
10,스토리배우,"배우 이수경 보라 왔다 갑니다.정말 예쁘고 연기도 잘하네요. 드라마를 졸지 않고 봤습니다. 전개가 지루하지 않아요. 잘봤습니다."
10,스토리배우,"동화책 읽은 느낌.. 순수, 감동, 웃음 까지"
10,스토리배우,"마음이 후훈한 영화입니다"
10,스토리배우,"완전 감동이네요. 배우들의 연기력도 너무 좋았고... 커이꺼이 울었네요.. 올해 본 영화중에 쵝오♡♡♡"
7,스토리,"스토리전개가 진부한 영화"
10,연출배우,"오랫만에 힐링되는영화"
10,연출배우,"뻔한데 감동적이어서 좋았어요. 깔끔한 결말 취저"
8,스토리배우,"약간 억지스런 상황도 있었지만 잼나게 본거같아요 박정민님 이성민님 연기는 좋구요!"
10,스토리배우,"배우들 연기 찰떡이고... 아~ 모처럼 영화 잘 봤습니다! 최고!"
10,영상미배우,"생각지도 못한 반전이 좋았고 아내랑 담담하고 재미있게 보았습니다"
10,스토리영상미,"넘 재밌게 봤엉ᆢㄷ"
9,연출배우,"간만에 재미있게 관람했음"
10,스토리,"감동적이였어요! 잘봤습니다~"
10,스토리배우,"생각보다 재미있었다!"
7,배우,"지루한느낌을받았어요"
6,영상미배우,"두 가지 이야기가 따로 국밥. 설득성이 떨어짐"
10,스토리,"따듯한 영화, 잔잔하게 마음을 울림"
10,스토리배우,"재미있었고가슴이찡한것도있내요"
8,스토리배우,"너무 과한 신파만 조금 들어내면 더욱 좋았을 잔잔한 여운과 감동을 주는 좋은 영화"
10,스토리배우,"잔잔한 감동, 건강한 웃음 믿고보는 박정민과 이수경배우의 새로운 발견~~"
10,스토리배우,"좋았습니다 함 보세요"
10,영상미배우,"잔잔하면서 감동이있다"
10,영상미배우,"아름다운 자연을 그대로 담으려고 노력한 영상 감정이입이 될 정도로 명연기를 펼친 배우들 나이 30넘어서 처음으로 영화보다가 울었다 나도 누군가에게 저렇게 위로 받아 볼수 있다면"
9,스토리배우,"서로를 위한 진심은 감동을 준다"
10,스토리배우,"실환줄 모르고 봤는데 실화라서 더 잼나게 봤네요 사투리는 역시 아직..ㅋㅋㅋ"
10,스토리,"따뜻한 눈물을 흘리게 해주었다."
10,스토리배우,"솔직히 영화소개가 전부일거라 생각했는데 보고 엄청 펑펑 울었어요. 두마리 필요없고 꼭 한번 보세요."
8,스토리배우,"대화의 중요성 어필"
8,스토리배우,"실화를 바탕으로 한 영화인지 몰랐고 이런 간이역이 있는지도 몰랐는데 영화를 통해서 알게 됐고 간이역을 만들고 싶었던 주민들의 노력과 절실함이 일궈낸 성과라고 생각한다.반전도 감동"
10,영상미,"잔잔하고 감동적인 영화였습니다."
10,영상미배우,"굿굿굿것것것깃깃깃곳곳곳"
10,스토리배우,"남주 여주 둘다 연기력 최고예요! 너무잼있네요. 굳!"
10,연출스토리,"저는 재밌게 봤어요 ㅎㅎㅎ"
10,연출스토리,"정말 몰입해서 봤어요 ㅎㅎ"
10,스토리배우,"진짜 꿀잼 휴지 안들고가서 손으로 눈물닦음.."
7,연출,"굿 굿 굿 굿"
10,스토리배우,"감동적인 영화였어요"
10,스토리,"감동있는 스토리~~~"
8,영상미OST,"최초의 민자역 양원역 단 한가지 사실만으로 여기까지 영화가 만들어졌다는게 대단하나 작중 주어지는 슬픔의 강도가 너무 지나쳐서 감동이 반감되며 홍보는 영화 완성도에 비해 최악이었다."
8,스토리배우,"이수경 발견, 이수경 발견"
8,배우,"배우들의 연기도 좋았음"
9,배우OST,"실화가 주는 잔잔한 감동의 영화였어요"
10,스토리배우,"누나에 대한 애뜻함이 가슴을 울리네요.. 재밌게 잘봤습니다"
7,연출배우,"잔잔한 감동. 하지만 결말이 좀 아쉬워요. 그리고 남주인공이 배역에 비해 너무 성숙해보여¿ 괴리감이 생겼어요."
10,영상미배우,"캐미 좋아용 재밌게 잘 봐써용"
8,배우,"80년대 시절 풍경에 눈길이 가네요"
8,배우,"개연성이 좀 아쉽긴해요"
1,영상미,"안봐서 보류 ㅅ ㅎ"
10,스토리영상미,"Dream comes true. 따뜻하네요"
10,스토리배우,"감동이에요 ㅎㅎ!!"
9,스토리배우,"정말 기적같은 일이 실화라니 놀랐어요~응팔에서 나왔던 배우들이네요~추억소환도 영화의 재미에 한몫한것 같아요~감동이 있는 영화~"
9,스토리배우,"배우들 캐미도 좋고 재미도 있고 감동도 있고 박정민 배우님 고등학생 연기도 찰떡같이 잘하시네요 항상 응원하고 있습니다! 화이팅"
10,배우OST,"잼있어요 배우들 연기도 좋고"
6,OST,"나름 재밌게 본듯합니다"
7,스토리배우,"잘 뽑은 영화에 신파 한 그릇"
10,연출배우,"영상 스토리 중간중간 코믹까지 모든게 완벽한 영화였습니다"
10,스토리배우,"재밌었어요 감동적입니다"
8,연출배우,"박정민 임윤아 케미가 짱"
10,스토리배우,"잔잔한 감동이 있네요?^^Good 재미있게 봤습니다 ^^"
8,영상미,"양원역이 실제로 있다니신기해요"
10,스토리배우,"슬프지만 아름다운 반전...배우들 연기 너무 좋았어요"
9,연출배우,"재미있게 잘 봤습니다^^"
10,스토리영상미,"오래간만에 진심 감동 충만한 영화였습니다. 감동! 굿"
10,스토리배우,"생각없이 봤는데 오랫만에 눈물이 뚝뚝.."
7,연출배우,"잔잔한 여운과 함께 부담없이 마음 따뜻해지는 영화"
10,스토리배우,"재밋엇어요 감동적이고!!!"
10,스토리배우,"너무 재미있었고, 배우들 케미가 특히 돋보였어요@@!"
10,연출스토리,"울다웃다 재밌게 잘봤네요"
7,스토리배우,"기적 영화 재미있네요"
10,스토리배우,"대박 감동 웃다 울다 했어요 너무너무 재미있었어요^^"
8,배우,"뻔하지만 따뜻한 영화."
2,배우,"지루하네요 비추입니다"
7,영상미배우,"기적 영화 재미있네요."
10,스토리배우,"잘봤습니다..ㅎㅋㅎ"
10,배우,"잔잔하게 감동있는영화였어요"
3,OST,"클리셰 범벅에 서사도 없고 캐릭터도 중구난방이라 시간과 돈 모두 아까운, 임윤아 얼굴로도 커버가 안 되는 구린내"
5,배우,"드라마가 잘 안와닿고 설정이 별로에요"
10,연출영상미,"잔잔하니 마음 따뜻한 영화였어요~^^"
8,스토리배우,"잔잔한 감동~ 베테랑 이성민 배우 연기 최고~~ 천재연기가 넘 잘 어울리는 박정민 배우~ 사투리연기 너무 잘해서 깜놀~ 임윤아"
10,영상미배우,"연기 참!!잘했어요~~"
7,영상미배우,"실화 소재 드라마인 줄로만 알았는데 판타지였어...ㅠㅠ"
10,스토리영상미,"웃고 울면서 봤어요 잔잔하게 볼만합니다"
10,영상미배우,"가족과 함께 보기 좋아요"
8,스토리배우,"별 기대없이 봤는데 나름 재미있게 관람함 배우들 연기가 좋음"
8,스토리영상미,"조금 지루 했어요."
8,영상미배우,"눈물이 마르지 않았어요..ㅋㅋ"
10,스토리배우,"재미있게 잘 봤습니다"
8,영상미배우,"가볍게웃을수있는영화"
8,스토리,"배우가 맡은 배역이 잠시 되어본다. 부모.자식.누나의 입장에서 영화를 관람하니 가슴 찡한 영화~"
10,배우,"황당한 설정에 비해서 괜찮은 가족물!"
10,스토리,"너무 감동적이었어요 그냥 눈물이흐르더라구요"
10,스토리배우,"착하고 아름답지만 진부한 느낌"
9,스토리배우,"생각없이관람했는되 재미있네요"
10,스토리배우,"간만에 좋은 영화 봤어요. 감동적이고 적당히 재밌고.. 연기자들도 너무 좋았어요!"
10,연출영상미,"끄윽끄윽 울었다..미쳤다…🥺 잘봤다.."
10,스토리배우,"완전 감명깊게 봤습니다.완추~~"
10,스토리배우,"감동 재미 둘다 잡으셨음"
7,배우,"모두가 행복하게 해줄수있는 영화"
7,배우,"좋은 영화 따뜻한 여운이 있습니다"
7,배우,"흥행못해서 아쉽습니다 좋았어요"
7,스토리,"스토리가 잘 짜여져 너무 재밋게 잘봣어요"
10,연출스토리,"너무나 감동적 이였다"
10,스토리,"잔잔하면서 감동웃음이 있는 볼만하네요"
5,배우,"명절영화로 대량생산된 기계제품"
9,영상미배우,"가슴 한켠이 먹먹해지는 감동 스토리 영화 사랑하는 사람과 함께 보세요."
10,스토리배우,"이수경 배우 잘봤습니다 추천합니다"
10,스토리영상미,"생각보다 웃기고 넘 감동이었어요 ㅠ 마지막에 너무 반전이 휘몰아치는게 조금 그런데 전반적으로 넘 좋았습니다."
9,연출배우,"연기, 내용, 감동,재미까지 뭐하나 빠지는게 없었음솔직히 보기 전에 지루하면 어떡하지 걱정했는데 그런 걱정 할 필요가 없었음!!꼭 보세요ㅠㅠ"
6,영상미배우,"슬프디만 감동이 있어요 가족한테 잘합시다"
10,스토리배우,"실체 없는 권력의 부조리에 대항하는 인간의 대표적 두 가지 군상"
10,연출배우,"감동과 재미 다잇습니다"
10,연출스토리,"가족엉화 추전합니다"
9,스토리배우,"오랜만에 감동적이고 웃기고 향수에 빠지게 하는 영화였습니다"
10,스토리,"가족의 아픔과 감동이 있는 영화"
10,연출스토리,"꿈은 이루어진다. 오랜만에 느껴보는 잔잔한 감동이 머무는 영화"
10,영상미배우,"재미와감동까지너무재미있게보고갑니다!"
8,연출배우,"잔잔한 감동과 재미가 있네요. 살짝 루즈하기도 하지만 가슴 따뜻해지는 영화였습니다."
10,스토리영상미,"매우 감동저인 영화였어요"
7,연출배우,"잘봤습니다눈물도좀흘리고ㅜㅜ"
9,영상미배우,"너무 기대안하고보면 괜찮을듯요^^;"
10,스토리배우,"재밌었어요 짱입니대"
10,연출OST,"정말 감동적입니다 잘 봤어요"
9,영상미배우,"영상미와 주연배우들 연기가 지루하지않고 좋았음"
9,스토리배우,"참고 참고 눈물이 결국엔 왈칵 쏟아짐..."
10,스토리배우,"이수경 배우와 이성민 배우가 제일 기억에 남았어요."
10,스토리배우,"진짜 재미있게 봤다. 기대안했는데 탄탄하고 배우들의 연기 면에서는 흠잡을 곳이 없었다."
9,스토리배우,"자연스럽게 눈물이 날 수 밖에 없었어요."
10,스토리배우,"진짜 기대이상이었다 ㅎㅎ 그리운 양원역 승부역"
7,배우,"윤아 자체로 기적이다"
8,연출,"의미있는 시간 재미"
10,배우,"잔잔한 감동 스토리에 배우들의 연기가 더해져서 따뜻하게 잘 봤습니다"
10,스토리배우,"넘 가슴속에와닿는이야기 너무 즐겁고 슬프고 신나게봤어요"
6,스토리배우,"현실과 환상의 적절한 조화"
9,연출,"굿 굿 굿 굿"
9,스토리배우,"마음이 몽글몽글하고 정화됐습니다. 좋아요"
8,스토리배우,"오랜만에좋은 이야기..그리고 배우들"
5,배우,"캐릭터 설정이나 극의 흐름이 매끄럽지 않음"
9,스토리,"잔잔한 스토리.. 중간은 살짝 지루한데 재미나고 스토리 배우 다 좋음~"
10,영상미,"영화 잘 봤습니다. 좋았습니다."
